Name                                            Stmts   Miss  Cover
-------------------------------------------------------------------
enhomie/__init__.py                                 6      0   100%
enhomie/builtins/__init__.py                        5      0   100%
enhomie/builtins/models.py                         19      0   100%
enhomie/builtins/params/__init__.py                 4      0   100%
enhomie/builtins/params/period.py                  14      0   100%
enhomie/builtins/params/regexp.py                   7      0   100%
enhomie/builtins/params/store.py                   11      0   100%
enhomie/builtins/period.py                         53      0   100%
enhomie/builtins/regexp.py                         33      0   100%
enhomie/builtins/store.py                          53      0   100%
enhomie/builtins/test/__init__.py                   0      0   100%
enhomie/builtins/test/test_models.py                7      0   100%
enhomie/builtins/test/test_period.py               57      0   100%
enhomie/builtins/test/test_regexp.py               30      0   100%
enhomie/builtins/test/test_store.py                46      0   100%
enhomie/conftest.py                                59      0   100%
enhomie/execution/__init__.py                       0      0   100%
enhomie/execution/action.py                        27      0   100%
enhomie/execution/backup.py                        15      0   100%
enhomie/execution/config.py                        15      0   100%
enhomie/execution/crypts.py                        18      0   100%
enhomie/execution/desired.py                       17      0   100%
enhomie/execution/dumped.py                        16      0   100%
enhomie/execution/persist.py                       25      0   100%
enhomie/execution/restful.py                       19      0   100%
enhomie/execution/service.py                       37      0   100%
enhomie/execution/test/__init__.py                  0      0   100%
enhomie/execution/test/test_action.py               4      0   100%
enhomie/execution/test/test_backup.py               4      0   100%
enhomie/execution/test/test_config.py               4      0   100%
enhomie/execution/test/test_crypts.py               4      0   100%
enhomie/execution/test/test_desired.py              4      0   100%
enhomie/execution/test/test_dumped.py               4      0   100%
enhomie/execution/test/test_persist.py              4      0   100%
enhomie/execution/test/test_restful.py              4      0   100%
enhomie/execution/test/test_service.py              4      0   100%
enhomie/homie/__init__.py                           4      0   100%
enhomie/homie/addons/__init__.py                   12      0   100%
enhomie/homie/addons/aspired.py                    80      0   100%
enhomie/homie/addons/desired.py                   131      0   100%
enhomie/homie/addons/jinja2.py                     14      0   100%
enhomie/homie/addons/logger.py                     72      0   100%
enhomie/homie/addons/persist.py                   206      0   100%
enhomie/homie/addons/queue.py                      34      0   100%
enhomie/homie/addons/test/__init__.py               0      0   100%
enhomie/homie/addons/test/test_aspired.py          74      0   100%
enhomie/homie/addons/test/test_desired.py          62      0   100%
enhomie/homie/addons/test/test_logger.py           43      0   100%
enhomie/homie/addons/test/test_persist.py          62      0   100%
enhomie/homie/addons/test/test_queue.py            27      0   100%
enhomie/homie/childs/__init__.py                    9      0   100%
enhomie/homie/childs/aspire.py                    119      0   100%
enhomie/homie/childs/child.py                      38      0   100%
enhomie/homie/childs/desire.py                    135      0   100%
enhomie/homie/childs/device.py                     54      0   100%
enhomie/homie/childs/group.py                      62      0   100%
enhomie/homie/childs/helpers.py                    36      0   100%
enhomie/homie/childs/homie.py                     227      0   100%
enhomie/homie/childs/origin.py                     50      0   100%
enhomie/homie/childs/scene.py                      56      0   100%
enhomie/homie/childs/test/__init__.py               0      0   100%
enhomie/homie/childs/test/test_aspire.py           49      0   100%
enhomie/homie/childs/test/test_child.py             8      0   100%
enhomie/homie/childs/test/test_desire.py           44      0   100%
enhomie/homie/childs/test/test_device.py            2      0   100%
enhomie/homie/childs/test/test_group.py            41      0   100%
enhomie/homie/childs/test/test_homie.py            33      0   100%
enhomie/homie/childs/test/test_origin.py            2      0   100%
enhomie/homie/childs/test/test_scene.py            34      0   100%
enhomie/homie/common.py                            22      0   100%
enhomie/homie/config.py                           127      0   100%
enhomie/homie/homie.py                            170      0   100%
enhomie/homie/members/__init__.py                   6      0   100%
enhomie/homie/members/actions.py                   90      1    99%
enhomie/homie/members/member.py                   137      0   100%
enhomie/homie/members/restful.py                   45      0   100%
enhomie/homie/members/streams.py                   12      0   100%
enhomie/homie/members/test/__init__.py              0      0   100%
enhomie/homie/members/test/test_actions.py         22      0   100%
enhomie/homie/members/test/test_member.py           2      0   100%
enhomie/homie/members/test/test_restful.py         50      0   100%
enhomie/homie/members/test/test_streams.py         22      0   100%
enhomie/homie/members/test/test_updates.py         22      0   100%
enhomie/homie/members/updates.py                   33      0   100%
enhomie/homie/models.py                           103      0   100%
enhomie/homie/params/__init__.py                   17      0   100%
enhomie/homie/params/aspire.py                     18      0   100%
enhomie/homie/params/child.py                       5      0   100%
enhomie/homie/params/common.py                      2      0   100%
enhomie/homie/params/desire.py                     18      0   100%
enhomie/homie/params/device.py                      8      0   100%
enhomie/homie/params/group.py                       9      0   100%
enhomie/homie/params/homie.py                      40      0   100%
enhomie/homie/params/occur.py                      15      0   100%
enhomie/homie/params/origin.py                     13      0   100%
enhomie/homie/params/persist.py                    28      0   100%
enhomie/homie/params/plugin.py                      2      0   100%
enhomie/homie/params/scene.py                       9      0   100%
enhomie/homie/params/service.py                    20      0   100%
enhomie/homie/params/stage.py                       9      0   100%
enhomie/homie/params/store.py                      30      0   100%
enhomie/homie/params/where.py                      15      0   100%
enhomie/homie/plugins/__init__.py                   6      0   100%
enhomie/homie/plugins/common.py                     2      0   100%
enhomie/homie/plugins/driver.py                    24      0   100%
enhomie/homie/plugins/occur.py                     42      0   100%
